id,raw_text,expected_label,expected_normalized
tcvn3_doc_p1,"Chñ tÞch Quèc héi níc Céng hßa x· héi chñ nghÜa ViÖt Nam",tcvn3,"Chủ tịch Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam"
tcvn3_doc_p27,"LuËt nµy quy ®Þnh vÒ tr¸ch nhiÖm cña c¬ quan, tæ chøc, c¸ nh©n trong viÖc thùc hiÖn",tcvn3,"Luật này quy định về trách nhiệm của cơ quan, tổ chức, cá nhân trong việc thực hiện"
tcvn3_doc_p53,"NghÞ quyÕt nµy ®· ®îc Quèc héi khãa XV kú häp thø 7 th«ng qua ngµy 29 th¸ng 6 n¨m 2024",tcvn3,"Nghị quyết này đã được Quốc hội khóa XV kỳ họp thứ 7 thông qua ngày 29 tháng 6 năm 2024"
vni_doc_p1,"Chuû tòch Quoác hoäi nöôùc Coäng hoøa xaõ hoäi chuû nghóa Vieät Nam",vni,"Chủ tịch Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam"
vni_doc_p12,"Luaät naøy quy ñònh veà traùch nhieäm cuûa cô quan, toå chöùc, caù nhaân trong vieäc thöïc hieän",vni,"Luật này quy định về trách nhiệm của cơ quan, tổ chức, cá nhân trong việc thực hiện"
vni_doc_p23,"Nghò quyeát naøy ñaõ ñöôïc Quoác hoäi khoùa XV kyø hoïp thöù 8 thoâng qua",vni,"Nghị quyết này đã được Quốc hội khóa XV kỳ họp thứ 8 thông qua"
normal_hienphap_p1,"Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam quy định các quyền và nghĩa vụ cơ bản của công dân.",original,"Hiến pháp nước Cộng hòa xã hội chủ nghĩa Việt Nam quy định các quyền và nghĩa vụ cơ bản của công dân."
normal_vinamilk_p5,"Báo cáo tài chính hợp nhất kiểm toán năm 2014 của Công ty Cổ phần Sữa Việt Nam Vinamilk.",original,"Báo cáo tài chính hợp nhất kiểm toán năm 2014 của Công ty Cổ phần Sữa Việt Nam Vinamilk."
normal_lichsudang_p2,"Đảng Cộng sản Việt Nam lãnh đạo toàn dân đấu tranh giải phóng dân tộc và xây dựng chủ nghĩa xã hội.",original,"Đảng Cộng sản Việt Nam lãnh đạo toàn dân đấu tranh giải phóng dân tộc và xây dựng chủ nghĩa xã hội."
nodiacritic_law_p1,"Chu tich Quoc hoi nuoc Cong hoa xa hoi chu nghia Viet Nam ban hanh quy dinh nay.",original,"Chu tich Quoc hoi nuoc Cong hoa xa hoi chu nghia Viet Nam ban hanh quy dinh nay."
groupA_01,"Cô Hồng đóng cửa hàng lúc chín giờ tối.",original,"Cô Hồng đóng cửa hàng lúc chín giờ tối."
groupA_02,"Ông bà nội tôi trồng nhiều hoa hồng ở vườn.",original,"Ông bà nội tôi trồng nhiều hoa hồng ở vườn."
groupA_03,"Tôi thích ăn xôi nóng vào buổi sáng.",original,"Tôi thích ăn xôi nóng vào buổi sáng."
groupA_04,"Hôm nay tôi mua bốn hộp sữa tươi cho bé.",original,"Hôm nay tôi mua bốn hộp sữa tươi cho bé."
groupA_05,"Bố tôi đi công tác ở Đà Nẵng vào tháng sau.",original,"Bố tôi đi công tác ở Đà Nẵng vào tháng sau."
groupA_06,"Cô ấy hát bài đó rất hay trên sân khấu tối qua.",original,"Cô ấy hát bài đó rất hay trên sân khấu tối qua."
groupA_07,"Ông Tô sống một mình trong căn nhà nhỏ ở xóm núi.",original,"Ông Tô sống một mình trong căn nhà nhỏ ở xóm núi."
groupA_08,"Công ty tổ chức hội nghị vào tháng tới, mọi người đều tham gia.",original,"Công ty tổ chức hội nghị vào tháng tới, mọi người đều tham gia."
groupD_01,"Nguyễn Văn A",original,"Nguyễn Văn A"
groupD_02,"118/2025/QH15",original,"118/2025/QH15"
groupD_03,"Hà Nội, ngày 27 tháng 6 năm 2024",original,"Hà Nội, ngày 27 tháng 6 năm 2024"
groupD_04,"Tô",original,"Tô"
groupD_05,"Đ/c: 12 Trần Phú",original,"Đ/c: 12 Trần Phú"
groupE_01,"Xe đ ợc đưa đón trẻ em mầm non theo đ ờng quy định.",original,"Xe được đưa đón trẻ em mầm non theo đường quy định."
groupE_02,"Học sinh cần cố gắng nhiều h ơn n ữa trong học tập.",original,"Học sinh cần cố gắng nhiều hơn nữa trong học tập."
groupE_03,"Tr ờng học tổ chức l ợng lớn hoạt động ngoại khóa.",original,"Trường học tổ chức lượng lớn hoạt động ngoại khóa."
groupE_04,"Ph ơng tiện giao thông phải tuân thủ quy định.",original,"Phương tiện giao thông phải tuân thủ quy định."
unknown_english_tech,"This module evaluates retrieval augmented generation systems using FAISS index and embedding models.",unknown,"This module evaluates retrieval augmented generation systems using FAISS index and embedding models."
unknown_table_numbers,"12 34 56 78 90 ++++ **** ///// |||| === 100.000 200.000",unknown,"12 34 56 78 90 ++++ **** ///// |||| === 100.000 200.000"
unknown_random_symbols,"!@#$%^&*() _+{}|:<>? ~`=[]\;',./",unknown,"!@#$%^&*() _+{}|:<>? ~`=[]\;',./"
tcvn3_36qh15_title,"QUèC HéI CéNG HßA X· HéI CHñ NGHÜA VIÖT NAM",tcvn3,"QUỐC HỘI CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM"
tcvn3_36qh15_date,"LuËt sè: 36/2024/QH15 Hµ Néi, ngµy 27 th¸ng 6 n¨m 2024",tcvn3,"Luật số: 36/2024/QH15 Hà Nội, ngày 27 tháng 6 năm 2024"
tcvn3_36qh15_header,"§iÒu 1. Ph¹m vi ®iÒu chØnh",tcvn3,"Điều 1. Phạm vi điều chỉnh"
tcvn3_36qh15_uhorn_dash,"LuËt nµy quy ®Þnh vÒ quy t¾c, ph-¬ng tiÖn, ng-êi tham gia giao th«ng ®-êng bé, chØ huy, ®iÒu khiÓn, tuÇn tra, kiÓm so¸t, gi¶i quyÕt tai n¹n giao th«ng ®-êng bé.",tcvn3,"Luật này quy định về quy tắc, phương tiện, người tham gia giao thông đường bộ, chỉ huy, điều khiển, tuần tra, kiểm soát, giải quyết tai nạn giao thông đường bộ."
tcvn3_36qh15_list_item,"1. §iÒu khiÓn xe c¬ giíi tham gia giao th«ng ®-êng bé kh«ng cã giÊy phÐp l¸i xe theo quy ®Þnh cña ph¸p luËt;",tcvn3,"1. Điều khiển xe cơ giới tham gia giao thông đường bộ không có giấy phép lái xe theo quy định của pháp luật;"
tcvn3_36qh15_shorttitle,"§iÒu 40. Niªn h¹n sö dông cña xe c¬ giíi",tcvn3,"Điều 40. Niên hạn sử dụng của xe cơ giới"
tcvn3_36qh15_numbers,"Gi¸ khëi ®iÓm cña mét biÓn sè xe « t« ®-a ra ®Êu gi¸ kh«ng thÊp h¬n 40 triÖu ®ång; gi¸ khëi ®iÓm mét biÓn sè xe m« t«, xe g¾n m¸y ®-a ra ®Êu gi¸ kh«ng thÊp h¬n 05 triÖu ®ång.",tcvn3,"Giá khởi điểm của một biển số xe ô tô đưa ra đấu giá không thấp hơn 40 triệu đồng; giá khởi điểm một biển số xe mô tô, xe gắn máy đưa ra đấu giá không thấp hơn 05 triệu đồng."
tcvn3_36qh15_signature,"CHñ TÞCH QUèC HéI TrÇn Thanh MÉn",tcvn3,"CHỦ TỊCH QUỐC HỘI Trần Thanh Mẫn"
vni_118qh15_title,"QUOÁC HOÄI COÄNG HOØA XAÕ HOÄI CHUÛ NGHÓA VIEÄT NAM",vni,"QUỐC HỘI CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM"
vni_118qh15_lawno,"Luaät soá: 118/2025/QH15",vni,"Luật số: 118/2025/QH15"
vni_118qh15_bigtitle,"LUAÄT SÖÛA ÑOÅI, BOÅ SUNG MOÄT SOÁ ÑIEÀU CUÛA 10 LUAÄT COÙ LIEÂN QUAN ÑEÁN AN NINH, TRAÄT TÖÏ",vni,"LUẬT SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA 10 LUẬT CÓ LIÊN QUAN ĐẾN AN NINH, TRẬT TỰ"
vni_118qh15_titlelist,"Ñoái vôùi Toång Bí thö Ban Chaáp haønh Trung öông Ñaûng Coäng saûn Vieät Nam, Chuû tòch nöôùc, Chuû tòch Quoác hoäi, Thuû töôùng Chính phuû, Thöôøng tröïc Ban Bí thö:",vni,"Đối với Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, Chủ tịch nước, Chủ tịch Quốc hội, Thủ tướng Chính phủ, Thường trực Ban Bí thư:"
vni_118qh15_effdate,"Luaät naøy coù hieäu löïc thi haønh töø ngaøy 01 thaùng 7 naêm 2026, tröø quy ñònh taïi khoaûn 2 Ñieàu naøy.",vni,"Luật này có hiệu lực thi hành từ ngày 01 tháng 7 năm 2026, trừ quy định tại khoản 2 Điều này."
vni_118qh15_signature,"CHUÛ TÒCH QUOÁC HOÄI Traàn Thanh Maãn",vni,"CHỦ TỊCH QUỐC HỘI Trần Thanh Mẫn"
vni_118qh15_p05,"ñaûm quoác phoøng, an ninh quoác gia vaø traät töï, an toaøn xaõ hoäi theo quy ñònh",vni,"đảm quốc phòng, an ninh quốc gia và trật tự, an toàn xã hội theo quy định"
vni_118qh15_p11,"13. Boû moät soá cuïm töø taïi moät soá khoaûn, ñieàu nhö sau:",vni,"13. Bỏ một số cụm từ tại một số khoản, điều như sau:"
vni_118qh15_p18,"“Ñieàu 8. Phaân loaïi ñöôøng boä theo caáp quaûn lyù",vni,"“Điều 8. Phân loại đường bộ theo cấp quản lý"
tcvn3_36qh15_p12,"5. Trªn ®-¬ng bé, ng-êi ®iÒu khiÓn ph-¬ng tiÖn tham gia giao th«ng ®-êng bé chØ ®-îc",tcvn3,"5. Trên đường bộ, người điều khiển phương tiện tham gia giao thông đường bộ chỉ được"
tcvn3_36qh15_p26,"4. Xe vÖ sinh m«i tr-êng, xe « t« chë vËt liÖu x©y dùng, phÕ th¶i rêi ph¶i ®-îc che phñ",tcvn3,"4. Xe vệ sinh môi trường, xe ô tô chở vật liệu xây dựng, phế thải rời phải được che phủ"
tcvn3_36qh15_p39,"nhiÖm vô, quyÒn h¹n cña lùc l-îng ®-îc huy ®éng theo quy ®Þnh cña ph¸p luËt, quyÕt",tcvn3,"nhiệm vụ, quyền hạn của lực lượng được huy động theo quy định của pháp luật, quyết"
vinamilk_p15,"CÁC HOẠT ĐỘNG VỀ MÔI TRƯỜNG VÀ NĂNG LƯỢNG TRONG NĂM 2014",original,"CÁC HOẠT ĐỘNG VỀ MÔI TRƯỜNG VÀ NĂNG LƯỢNG TRONG NĂM 2014"
vinamilk_p27,"CÁC CHỈ SỐ NĂNG LƯỢNG TRONG CHĂN NUÔI BÒ SỮA",original,"CÁC CHỈ SỐ NĂNG LƯỢNG TRONG CHĂN NUÔI BÒ SỮA"
vinamilk_p40,"PHÁT TRIỂN ĐỘI NGŨ - THĂNG TIẾN VÀ ĐÀO TẠO NGUỒN NHÂN LỰC",original,"PHÁT TRIỂN ĐỘI NGŨ - THĂNG TIẾN VÀ ĐÀO TẠO NGUỒN NHÂN LỰC"
lichsudang_p15,"phongào công nhân và phongào yêu nước làm dấy lên phongào các cuộc đấu tranh",original,"phongào công nhân và phongào yêu nước làm dấy lên phongào các cuộc đấu tranh"
lichsudang_p30,"về chính trị; về ngoại giao phải đặc biệt chú ý làm cho nước mình ít kẻ thù",original,"về chính trị; về ngoại giao phải đặc biệt chú ý làm cho nước mình ít kẻ thù"
lichsudang_p45,"Từ thực tiễn cuộc đấu tranh cách mạng của nhân dân miền Nam, tháng 1 năm 1959",original,"Từ thực tiễn cuộc đấu tranh cách mạng của nhân dân miền Nam, tháng 1 năm 1959"
hienphap_p09,"1. Mọi người có quyền sở hữu về thu nhập hợp pháp, của cải để dành, nhà ở",original,"1. Mọi người có quyền sở hữu về thu nhập hợp pháp, của cải để dành, nhà ở"
hienphap_p17,"1. Nhiệm kỳ của mỗi khóa Quốc hội là năm năm.",original,"1. Nhiệm kỳ của mỗi khóa Quốc hội là năm năm."
hienphap_p25,"6. Bảo vệ quyền và lợi ích của Nhà nước và xã hội, quyền con người",original,"6. Bảo vệ quyền và lợi ích của Nhà nước và xã hội, quyền con người"
nodiacritic_p06,"c) Thay the cum tu “Hoi dong canh tranh” bang cum tu “Uy ban canh tranh quoc gia”",original,"c) Thay the cum tu “Hoi dong canh tranh” bang cum tu “Uy ban canh tranh quoc gia”"
